nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
consultorios en iztacalco,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:48:30.662778,2024-07-19 21:48:30.647696,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/82e7b15d-77a8-4c0d-834c-500f22aff6ac/resource/e695d3d6-6e0c-466e-b868-a039424fd546/download/historico-consultorios-iztacalco.csv
consultorios en iztapalapa,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:49:35.562088,2024-07-19 21:49:35.545026,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/8082f04e-ea95-4ef8-8ef1-6a34cdde6fe6/resource/4973a47c-343c-4d07-a6f8-f0e48e630df5/download/historico-consultorios-iztapalapa.csv
consultorios en magdalena contreras,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:57:43.035388,2024-07-19 21:57:43.019469,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/a252f912-409d-4862-be6a-b62305b52300/resource/b6548ec5-d7a7-4477-8f9c-4acb15806bc6/download/historico-consultorios-la-magdalena-contreras.csv
consultorios en miguel hidalgo,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 22:00:52.587947,2024-07-19 22:00:52.567581,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/42f27193-17ea-46f0-a3ef-623b02ec4475/resource/87f06539-162e-4091-adeb-bc858b3846ec/download/historico-consultorios-miguel-hidalgo.csv
consultorios en milpa alta,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:58:33.694548,2024-07-19 21:58:33.676985,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/c13fcc15-2215-40e7-bd43-7ac463a6e652/resource/1323a314-1130-4a71-a6ac-d214dfbaa22c/download/historico-consultorios-milpa-alta.csv
consultorios en tlahuac,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:51:18.744526,2024-07-19 21:51:18.728823,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/8fabb5b4-92cd-41ef-9a4a-a64c7da19ffd/resource/f5968ef8-12a9-4fed-a79f-323f1759ef66/download/historico-consultorios-tlahuac.csv
consultorios en tlalpan,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:53:08.026126,2024-07-19 21:53:08.010285,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/88dbda39-c565-4191-bd6b-58b8aea80f89/resource/4984d463-89be-40a8-9f42-b1b4f08f4e7c/download/historico-consultorios-tlalpan.csv
consultorios en venustiano carranza,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 22:01:31.241864,2024-07-19 22:01:31.225829,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/08fea431-eed4-41e0-aa3a-6d283a06712e/resource/5024a104-3632-49a9-b964-d94cd5aa29bc/download/historico-consultorios-venustiano-carranza.csv
consultorios en xochimilco,"consultorios medicos publicos, sociales o privados.",,numero,2024-07-19 21:52:01.587109,2024-07-19 21:52:01.571690,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/72d3cfef-c2f6-4428-b5d7-215ea384f997/resource/ab19cc19-35e5-4f52-ae66-2197d74643ba/download/historico-consultorios-xochimilco.csv
percepcion de corrupcion,porcentaje de la poblacion mayor de 18 años que percibe muy frecuente la corrupcion en el gobierno de la ciudad de mexico.,descendente,porcentaje,2023-10-19 19:02:24.354541,2024-04-11 17:30:38.740684,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor cdmx,bienal,eficacia,inegi,"inegi, encig",https://www.inegi.org.mx/programas/encig/2023/#tabulados,https://indicadores.cdmx.gob.mx/dataset/02f8cfe5-eca7-4159-9fb2-5673bf7204b6/resource/a8da8a03-f170-4ade-a8f6-9ecc8886f860/download/historico-visor-percepcion-de-corrupcion.csv
costo promedio de traslado de la residencia al trabajo,costo de traslado del lugar de residencia al lugar de trabajo de una persona promedio.,descendente,pesos,2023-10-17 19:06:31.808126,2023-10-17 19:06:31.782274,derecho a la movilidad,ciudades y comunidades sostenibles,pgd,no determinada,eficacia,inegi,"inegi, encuesta origen destino en hogares de la zona metropolitana de la ciudad de mexico (eod)",https://www.inegi.org.mx/programas/eod/2017/#microdatos,https://indicadores.cdmx.gob.mx/dataset/634a24a0-a761-47be-8e13-f112b75526cb/resource/fe587e2b-1852-425f-bb88-8f5907d2f153/download/historico-costo-promedio-de-traslado-de-la-residencia-al-trabajo.csv
creacion de empleos formales,numero de nuevos empleos formales registrados en el instituto mexicano del seguro social en la ciudad de mexico.,ascendente,numero,2023-10-19 18:58:25.339235,2025-01-07 17:15:37.623406,derecho al trabajo,trabajo decente y crecimiento economico,visor cdmx,mensual,,imss,instituto mexicano del seguro social,https://public.tableau.com/app/profile/imss.cpe/viz/histrico_4/empleo_h?publish=yes,https://indicadores.cdmx.gob.mx/dataset/d7298c4a-a166-404a-a240-202de596ebca/resource/55bd204f-86e9-42ff-962b-068aec6bb40a/download/historico-visor-creacion-de-empleos-formales.csv
cursos de capacitacion en cultura de prevencion sgirpc,total de cursos de capacitacion en cultura de prevencion (impartidos por la secretaria de gestion integral de riesgos y proteccion civil).,ascendente,numero,2023-10-17 19:06:22.409040,2024-09-02 22:39:28.045792,derecho a la seguridad urbana y a la proteccion civil,ciudades y comunidades sostenibles,pgot,anual,eficacia,sgirpc,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/afff26e9-295e-4d35-8848-d627d890696f/resource/5eb6fe8f-5cb5-4664-95ff-ca4e2b4fc3c4/download/historico-cursos-de-capacitacion-en-cultura-de-prevencion.csv
"denuncias por contaminacion luminica, auditiva y olfativa","total de denuncias realizadas por contaminacion luminica, auditiva y olfativa (emisiones a la atmosfera).",descendente,numero,2023-10-17 19:05:18.606405,2024-07-03 19:11:24.528366,derecho a un medio ambiente sano,energia asequible y no contaminante,pgot,anual,eficacia,"paot, paot en cifras: reporte interactivo",paot en cifras: reporte interactivo,https://paot.org.mx/contenidos_graficas/delegaciones/graficas_gral.php,https://indicadores.cdmx.gob.mx/dataset/18ce5ab8-5b34-4105-9228-836f1d6ff47a/resource/25d324d2-44ea-4c96-be4f-48c35ac07638/download/historico-numero-de-denuncias-por-contaminacion-luminica-auditiva-y-olfativa.csv
denuncias totales de benito juarez,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:58:56.460294,2024-08-13 22:37:09.449452,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/8ee508bf-8ef6-4417-bbea-8ebe2cf3a3a6/resource/06446386-576a-4410-a049-d98ef5a34c51/download/historicodetalle-denucias-junio-9014.csv
denuncias totales en alvaro obregon,"numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.  

en alvaro obregon se registraron mil 218 denuncias hasta junio del 2024.",descendente,numero,2023-12-06 17:54:22.481833,2024-08-13 22:18:48.553486,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/2b0e0a12-78e5-4b1e-82b6-6ab172c4a9f9/resource/5bd08ea0-3ec1-455e-b84b-6cca1f9410e9/download/historicodetalle-denucias-junio-9010.csv
denuncias totales en azcapotzalco,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 16:55:05.022493,2024-08-13 19:21:17.323977,derecho de acceso a la justicia,"paz, justicia e instituciones solidasderechos humanos, seguridad y justicia",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/879f9d49-1808-42f8-8ea9-b26b7f49e76e/resource/0200ca0c-6b65-4292-a9f0-67826e7d0a27/download/historicodetalle-denucias-junio-9002.csv
denuncias totales en coyoacan,numero de comunicaciones formales por las cuales un delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:21:36.612339,2024-08-13 19:48:27.693768,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/60d8a303-f6dc-4337-b996-fb7e44327a54/resource/a95ad2d5-29cb-4fd5-a7ee-2087a6488514/download/historicodetalle-denucias-junio-9003.csv
denuncias totales en cuajimalpa,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:27:21.299003,2024-08-13 21:42:15.129554,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/fe83fedb-6839-4730-835f-650719c8c6b0/resource/ab763766-ad9e-45af-9373-8254a355cca6/download/historicodetalle-denucias-junio-9004.csv
denuncias totales en cuauhtemoc,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 18:02:52.452117,2024-08-13 22:41:03.725314,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/0d9b6e45-39bf-4cb2-9760-a9f998c91453/resource/15502d97-237a-4417-a6f8-5c059f42baa5/download/historicodetalle-denucias-junio-9015.csv
denuncias totales en gustavo a. madero,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:32:43.140588,2024-08-13 21:47:11.717824,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/558ae422-35f5-4d00-a515-3da6980b26a5/resource/34d6ed39-a2f7-4d5f-83d7-ccd38a007de1/download/historicodetalle-denucias-junio-9005.csv
denuncias totales en iztacalco,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:37:26.949506,2024-08-13 21:52:42.670144,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/256a85a1-a79b-4888-8040-970c38b2ef9c/resource/15ebc1f6-b564-4460-937d-423492d1e862/download/historicodetalle-denucias-junio-9006.csv
denuncias totales en iztapalapa,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:41:15.198061,2024-08-13 21:57:40.398889,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/cad97e2f-d3fe-4da2-b0e1-13ec0d3ffef0/resource/ceaabe82-329a-4c2c-8c96-786e2b855433/download/historicodetalle-denucias-junio-9007.csv
denuncias totales en miguel hidalgo,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 18:06:49.078052,2024-08-13 22:45:11.690536,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/38e75ffe-3b82-435b-a76a-c52b4e086a5a/resource/4dc9dbbe-92f4-49fb-8075-1fe9b3ba4cbe/download/historicodetalle-denucias-junio-9016.csv
denuncias totales en milpa alta,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:50:07.433214,2024-08-13 22:14:33.509312,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/7ae22246-c846-41a4-8873-99aa8e48cae5/resource/f1e87854-9f07-43a1-90c6-54b4ef786b6c/download/historicodetalle-denucias-junio-9009.csv
denuncias totales en tlahuac,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:32:20.543533,2024-08-13 22:25:06.557468,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/6960dde7-bfff-45e0-82d2-9db234c25591/resource/c21c8393-950b-4127-9e8f-56d36449ed5f/download/historicodetalle-denucias-junio-9011.csv
denuncias totales en tlalpan,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:49:48.791652,2024-08-13 22:29:26.690125,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/a8ce8923-e6d7-4ebd-8962-f18881924b23/resource/4dfc24ab-8150-4ed3-9c97-e1c0533fdbe0/download/historicodetalle-denucias-junio-9012.csv
denuncias totales en venustiano carranza,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 18:09:28.199540,2024-08-13 22:49:34.701336,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/eebfab24-389d-4b4f-aa5c-4c170cff05fd/resource/2dc04866-4f8a-4c69-ba89-77a2b19c512a/download/historicodetalle-denucias-junio-9017.csv
denuncias totales en xochimilco,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:55:23.061203,2024-08-13 22:33:20.717454,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/ea73add4-1a57-436f-8085-e6852cd1e3d4/resource/d6268dc2-dff6-4907-be66-b44be7dd586d/download/historicodetalle-denucias-junio-9013.csv
denuncias totales en magdalena contreras,numero de comunicaciones formales por las cuales el delito declarado por el informante es denunciado ante el ministerio publico con la finalidad de iniciar una carpeta de investigacion.,descendente,numero,2023-12-06 17:46:05.139825,2024-08-13 22:05:22.680527,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",visor alcaldias,mensual,eficacia,secretariado ejecutivo del sistema nacional de seguridad publica,secretariado ejecutivo del sistema nacional de seguridad publica,https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva?state=published,https://indicadores.cdmx.gob.mx/dataset/81fc8453-347d-413f-b798-c6f5440ecca9/resource/1be87d5f-43b9-4665-961b-7568e4dcb748/download/historicodetalle-denucias-junio-9008.csv
dias limpios al año,dias del año que cumplen con la norma oficial mexicana en salud correspondiente.,ascendente,numero,2023-10-17 19:06:22.721472,2024-08-14 18:06:14.410777,derecho a un medio ambiente sano,ciudades y comunidades sostenibles,pgd,anual,eficacia,sedema,"sedema, simat",http://www.aire.cdmx.gob.mx/default.php,https://indicadores.cdmx.gob.mx/dataset/c173a963-7102-47d7-8864-c6a10a2aab28/resource/fbccce5f-11b3-40e0-b80a-be7c697506e0/download/historico-dias-limpios.csv
dias con concentracion maxima de o3 menores o igual a 70 ppb (8 horas),el indicador se calculo con los valores limite de las nom vigentes en 2023,ascendente,numero,2024-05-17 17:44:32.587009,2024-06-10 18:50:23.561291,derecho a un medio ambiente sano,accion por el clima,pgot,anual,eficacia,sedema,sedema,http://www.aire.cdmx.gob.mx/default.php,https://indicadores.cdmx.gob.mx/dataset/0617a7ea-7792-45f7-a7ad-f57f60dec57c/resource/53bf1d24-ce62-4a46-a4e0-aa6b83716906/download/historico-dias-con-concentracion-maxima-de-o3-menores-o-igual-a-70-ppb-8-hora.csv
dias con concentracion maxima de o3 menores o igual a 95 ppb (1 hora),el indicador se calculo con los valores limite de las nom vigentes en 2023,ascendente,numero´,2023-10-31 22:06:02.598746,2024-05-17 18:40:14.353377,derecho a un medio ambiente sano,accion por el clima,pgot,anual,eficacia,sedema,sedema,http://www.aire.cdmx.gob.mx/default.php,https://indicadores.cdmx.gob.mx/dataset/b3d0ac52-9b66-4e75-a01f-a31011bd2f99/resource/93a11a47-5dab-48cf-b973-821498661c8c/download/historico-dias-con-concentracion-maxima-de-o3-menores-o-igual-a-95-ppb-1-hora.csv
disminucion del volumen extraido en pozos con agua de mala calidad,"determina el volumen de agua acumulado que se logra dejar de extraer del acuifero en pozos de mala calidad, al ser sustituido con agua de fuentes mas sustentables y de mayor calidad.",ascendente,metros cubicos por año,2023-10-17 19:05:34.756375,2023-10-17 19:05:34.730117,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,"sacmex, programa de gestion integral de los recursos hidricos (pgirh)",no disponible,https://indicadores.cdmx.gob.mx/dataset/0268b70d-c366-48ac-96eb-99a0e42d8525/resource/d02d96e5-971a-4713-86b8-943927c7c0da/download/historico-disminucion-del-volumen-extraido-en-pozos-con-agua-de-mala-calidad.csv
disponibilidad media anual de agua subterranea (dma),"volumen medio anual de agua subterranea que, cuando es positivo, puede ser extraido de un acuifero para diversos usos, adicional a la extraccion ya concesionada y a la descarga natural comprometida, sin poner en peligro el equilibrio de los ecosistemas.",ascendente,hectometros cubicos,2023-10-17 19:07:04.044433,2024-06-06 16:03:50.557053,derecho a un medio ambiente sano,agua limpia y saneamiento,pgot,no determinada,eficacia,conagua,"conagua, a traves del diario oficial de la federacion",https://www.dof.gob.mx/nota_detalle.php?codigo=5708074&fecha=09/11/2023#gsc.tab=0,https://indicadores.cdmx.gob.mx/dataset/6acb6952-72f4-4736-bcbe-20a3fbe64924/resource/d9cb0776-81d5-4ae7-b980-18bbbad21e55/download/historico-disponibilidad-media-anual-de-agua-subterranea.csv
recuperacion de caudales,caudal acumulado de agua recuperado en sectores conformados de la red de agua potable.,ascendente,litros por segundo,2023-10-17 19:06:16.602582,2023-10-17 19:06:16.574906,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,sacmex,pgirh,no disponible,https://indicadores.cdmx.gob.mx/dataset/36142ce3-6dec-45f2-b98b-2230a111287b/resource/441e8972-8dfd-4af2-a031-efa81c634765/download/historico-recuperacion-de-caudales.csv
eficiencia en las plantas de tratamiento de aguas residuales (ptars),este indicador busca estimar la eficiencia de tratamiento de las ptar de la ciudad de mexico en funcion de su capacidad instalada y el caudal efectivamente tratado.,ascendente,porcentaje,2023-10-17 19:06:01.949228,2024-08-27 22:01:02.337901,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgot,anual,eficacia,conagua,conagua,https://www.gob.mx/conagua/documentos/inventario-de-plantas-municipales-de-potabilizacion-y-de-tratamiento-de-aguas-residuales-en-operacion,https://indicadores.cdmx.gob.mx/dataset/c974176b-c071-4296-acb9-2a405ac704e1/resource/f400f453-360e-4384-8d50-ac8f7f908736/download/historico-eficiencia-en-las-ptars-pgot.csv
emisiones anuales de co2 equivalente generados por fuentes moviles,toneladas emitidas de co2 equivalente emitidas anualmente por fuentes moviles.,descendente,toneladas de co2e al año,2023-10-17 19:05:43.923633,2024-05-17 22:12:55.320575,derecho a un medio ambiente sano,accion por el clima,pgot,bienal,eficacia,sedema,"sedema, inventarios de emisiones de la zmvm",no disponible,https://indicadores.cdmx.gob.mx/dataset/e1e66a0b-7c4b-4294-8c2b-98ba62e8dc4a/resource/9f99fc8b-4a21-4619-adc5-a47cae663a37/download/historico-emisiones-anuales-de-co2-equivalente-generados-por-fuentes-moviles-1.csv
emisiones de gases de efecto invernadero equivalente durante año inventario,toneladas emitidas de gases de efecto invernadero (gei) al año de acuerdo con el inventario de emisiones.,descendente,toneladas de co2 equivalente al año,2023-10-17 19:07:02.000213,2024-05-17 23:20:13.774111,derecho a un medio ambiente sano,accion por el clima,pgot,bienal,eficacia,sedema,"sedema, inventarios de emisiones de la ciudad de mexico",http://www.aire.cdmx.gob.mx/default.php,https://indicadores.cdmx.gob.mx/dataset/132d45b9-54b0-44bf-bef3-b506383bca5e/resource/9873994e-2064-40fc-b1ba-54de8bc0437a/download/historico-emisiones-gei-al-ano-1.csv
empleos en el imss,indicador mensual de personas registradas como trabajadores en el instituto mexicano del seguro social en la ciudad de mexico.,ascendente,numero,2023-10-19 18:55:46.981943,2025-02-07 18:01:57.941130,derecho al trabajo,trabajo decente y crecimiento economico,visor cdmx,mensual,,imss,instituto mexicano del seguro social,https://public.tableau.com/app/profile/imss.cpe/viz/histrico_4/empleo_h?publish=yes,https://indicadores.cdmx.gob.mx/dataset/07d6125e-4827-4460-b8a2-c63b6b2808ab/resource/1b70824b-b04e-465b-98df-d29b60f54853/download/historico-visor-empleos-en-el-imss-1.csv
porcentaje de red vial con mantenimiento,porcentaje de red vial con mantenimiento. kilometros de red vial primaria de la ciudad de mexico que tiene mantenimiento respecto del total de kilometros de la red vial primaria.,ascendente,porcentaje,2023-10-17 19:06:24.832220,2023-10-17 19:06:24.803569,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/23d955db-b6e3-4b1a-a8f4-134906e3bde0/resource/ec778073-320e-4abd-a847-d43684c73d67/download/historico-porcentaje-de-red-vial-con-mantenimiento.csv
porcentaje de poblacion con cobertura de transporte publico masivo,"poblacion de la ciudad de mexico que utiliza stc metro, metrobus, tren (ferrocarril) suburbano y tren ligero para sus traslados, es decir, aquella poblacion con cobertura de transporte publico masivo.",ascendente,porcentaje,2023-10-17 19:05:22.034310,2023-10-17 19:05:22.005253,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,"semovi; , inegi",semovi e inegi,https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/43e24e5c-d127-419c-81c6-d505f7f258e5/resource/89adcf56-fd69-467f-9198-a671d95d6933/download/historico-porcentaje-de-poblacion-con-cobertura-de-transporte-publico-masivo.csv
numero de proyectos de espacio publico con perspectiva de seguridad desarrollados/intervenidos,"numero de proyectos de espacio publico que forman parte de las politicas publicas de prevencion y seguridad, con la intencion de ayudar a la creacion de condiciones de seguridad a partir de diseñar el entorno fisico de la ciudad de mexico.",ascendente,numero,2023-10-17 19:06:55.647431,2023-10-17 19:06:55.621242,derecho a la integridad,"paz, justicia e instituciones solidas",pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/34d62629-a64b-46e6-a068-e094809e72db/resource/1d291144-3217-4520-913f-20cdbfb0563c/download/historico-numero-de-proyectos-de-espacio-publico-con-perspectiva-de-seguridad-desarrolladosinte.csv
